article_name,date_article_creation
Bram Stoker's Dracula (video game),"02:08, 21 March 2010"
2013 Aegon Nottingham Challenge – Women's Doubles,"23:59, 13 May 2017"
1917 Napier mayoral election,"21:05, 5 July 2020"
List of tallest buildings in New Haven,"07:57, 13 August 2007"
1828 in Japan,"04:00, 30 November 2008"
Fox Sci-Fi,"18:07, 21 June 2007"
Neville Lyttelton,"10:34, 20 January 2009"
"Paulo Sérgio (footballer, born 1981)","13:34, 29 April 2015"
Chipewyan Lake,"05:31, 25 February 2017"
Igor Vasilyev,"19:18, 16 April 2018"
Hamad bin Abdulaziz Al Suwailem,"01:16, 12 August 2015"
A Little Light Left,"17:39, 8 February 2008"
Giuseppe Soravia,"06:22, 7 June 2007"
BDX (APC),"06:59, 27 July 2017"
Log-logistic distribution,"12:58, 6 April 2009"
Ideal Jawa,"10:53, 31 January 2013"
Sweetheart (2019 film),"13:27, 25 July 2007"
ESP James Hetfield,"12:43, 19 August 2004"
Roy Chaplin,"16:41, 18 January 2010"
Jack Pinder,"06:44, 15 December 2003"
Don Bachardy,"06:09, 16 January 2006"
Schistura personata,"05:48, 14 March 2017"
USS Monterey (CVL-26),"12:34, 17 November 2007"
Who's Singin' Over There?,"21:18, 15 May 2007"
Glenea telmissa,"20:49, 22 December 2015"
Hayling Island railway station,"06:58, 25 May 2012"
Titus de Bobula,"05:46, 26 January 2020"
Marco Schwarz,"05:03, 8 November 2015"
McBane,"04:58, 23 June 2006"
Miss Juneteenth,"22:38, 15 August 2009"
List of United States tornadoes from November to December 2015,"01:48, 6 September 2006"
Moon Motor Car,"16:21, 11 April 2009"
US 41–Fanny Hooe Creek Bridge,"11:14, 12 December 2008"
Ivan Shtyl,"03:11, 18 August 2019"
Spawn (novel),"21:26, 7 February 2017"
Eramala,"08:20, 7 January 2004"
2019 Chevrolet Silverado 250,"16:05, 26 February 2007"
Dawn Chatty,"19:23, 3 February 2018"
Macross: Do You Remember Love?,"13:54, 27 August 2020"
Free South Moluccan Youths,"14:37, 26 June 2009"
Assinica River,"15:42, 20 November 2004"
Promise Mkhuma,"17:18, 25 April 2007"
Derborence (film),"19:12, 30 March 2015"
Ōuchi Yoshitaka,"15:36, 6 October 2014"
Rathayibacter,"10:31, 14 May 2007"
1982 Kensington and Chelsea London Borough Council election,"15:02, 3 July 2011"
2004 in Konfrontacja Sztuk Walki,"23:48, 2 February 2006"
Purchasing card,"17:47, 4 February 2006"
Pantoporia,"08:49, 19 December 2005"
Reynaldo Hill,"05:26, 22 March 2009"
Tongyang Cup,"22:34, 7 August 2004"
Power user,"23:32, 16 January 2014"
Castriyón,"16:57, 15 April 2003"
The Cure for Insomnia,"17:20, 1 January 2020"
"Azizabad, Isfahan","15:26, 16 June 2020"
ALGOL W,"04:07, 15 November 2004"
Palais du Mobilier Bonn Frères,"14:32, 29 April 2016"
2019–20 SD Huesca season,"15:26, 20 December 2018"
Stars (M. C. Escher),"11:09, 25 April 2010"
Neotama variata,"15:21, 7 December 2015"
Ayman Cherkaoui,"21:25, 18 May 2008"
Nobuyasu Ikeda,"15:11, 8 January 2006"
Pelandaba,"20:50, 11 December 2017"
Convention Center station (Light RailLink),"04:30, 18 June 2013"
Tommy Knarvik,"16:15, 10 September 2017"
Black Devil (cigarette),"03:44, 15 July 2006"
"Simpson's Hospital, Dublin","14:07, 17 March 2018"
School for Marriage,"11:37, 20 March 2006"
List of mathematicians (G),"10:56, 2 September 2009"
2013 Nadeshiko League Cup,"14:31, 30 May 2009"
Louise Blanchard Bethune,"09:25, 7 October 2014"
List of FC Vaslui players,"02:30, 21 February 2009"
FK Panerys Vilnius,"09:17, 2 April 2007"
Zayed International Prize for the Environment,"02:43, 28 December 2008"
Amphiroa,"05:55, 29 February 2008"
"Meenmutty Falls, Thiruvananthapuram","17:30, 19 December 2009"
Quach,"07:07, 27 June 2007"
"Marotolana, Bealanana","14:33, 4 September 2010"
Facial care,"19:09, 10 October 2008"
North Geelong Football Club,"23:07, 13 August 2006"
1940–41 Netherlands Football League Championship,"21:37, 30 May 2012"
El Llano BC,"12:47, 8 July 2013"
"Booker Bay, New South Wales","17:00, 13 January 2004"
Davat,"17:16, 17 September 2018"
Isak Scheel,"01:02, 24 May 2006"
John Frederic Daniell,"18:42, 28 February 2017"
Gardner Pond,"00:21, 7 June 2012"
Luis Eyzaguirre,"04:26, 28 July 2017"
Camp Rock Enon,"20:35, 25 November 2018"
Richárd Erdős,"19:03, 12 October 2004"
American football at the 2017 World Games,"01:59, 29 April 2005"
Nicolae Puiu,"15:28, 15 October 2012"
Motuca,"10:59, 21 September 2019"
Todd Hollandsworth,"17:23, 3 November 2007"
1913 Massachusetts Aggies football team,"17:08, 6 October 2010"
2019 Wuhan Open – Doubles,"00:21, 22 August 2009"
Oburu Odinga,"08:21, 15 November 2014"
Shahrdari Mahshahr C.S.C.,"00:37, 20 October 2013"
Summer Rain (2006 film),"20:35, 20 September 2003"
José Roberto Hill,"00:14, 29 September 2006"
1998–99 Kentucky Wildcats men's basketball team,"17:43, 29 April 2010"
Camp Nelson Confederate Cemetery,"14:35, 2 June 2006"
Peoria Civic Center,"12:19, 9 May 2014"
Celle–Wittingen railway,"23:01, 17 March 2012"
Festival of the Bluegrass,"16:26, 25 September 2018"
Gardom,"18:59, 13 February 2015"
Rebeca Matte Bello,"20:58, 9 September 2013"
Robert Henry Doolan,"22:18, 14 October 2003"
Caroline von Keyserling,"13:56, 3 December 2004"
Qeshlaq-e Alapapakh,"17:24, 16 August 2019"
Discussion group,"21:07, 26 December 2009"
eXeem,"08:55, 20 September 2011"
Silviana Sfiringu,"17:13, 19 March 2007"
Naraghi Lake,"14:54, 19 May 2012"
Buddapalli,"16:20, 4 May 2008"
Neuschönau,"20:59, 6 November 2007"
"List of listed buildings in Glendevon, Perth and Kinross","00:16, 10 July 2010"
Homosexuality in English football,"04:43, 3 January 2007"
Howell Harris (academic),"02:16, 2 February 2004"
Lindsey Wixson,"17:32, 24 July 2016"
Takis Lemonis,"07:34, 9 January 2006"
"Tonaki, Okinawa","17:08, 31 July 2013"
Megan McNamara,"07:20, 28 May 2006"
MidAmerica St. Louis Airport,"17:29, 13 February 2007"
Villa La Reine Jeanne,"04:08, 25 July 2005"
Austin 10,"21:24, 29 December 2011"
Fricks Locks Historic District,"13:28, 27 September 2015"
Socket (video game),"17:53, 10 May 2008"
Cultrun,"20:15, 14 December 2009"
Amnesia (1994 film),"20:35, 14 March 2018"
Three Delivery,"13:55, 15 January 2017"
Michael Hill (English cricketer),"19:33, 30 December 2009"
K-line (spectrometry),"09:44, 27 March 2006"
Variable-order fractional Schrödinger equation,"17:33, 14 April 2010"
Backside of Thirty,"23:07, 28 September 2002"
Top of the World Provincial Park,"10:03, 8 May 2018"
Alex Müller (racing driver),"09:57, 6 May 2009"
"Warren County, Missouri","08:54, 6 August 2019"
Huang Chin-chun,"18:12, 3 October 2019"
Gordon Ogden,"05:11, 10 July 2004"
Sanjar Asfendiyarov,"09:50, 18 June 2019"
Catherine Ann Cullen,"03:06, 15 April 2016"
Tikbalang,"04:10, 8 February 2009"
Acacia leichhardtii,"23:39, 23 January 2009"
Tiffany Mitchell (basketball),"21:48, 4 November 2018"
Western Suburbs SC (NSW),"11:21, 16 January 2009"
Theophilus Redwood,"18:10, 10 March 2013"
Nazmul,"13:49, 30 November 2011"
Loran DeWolf,"10:16, 10 January 2010"
"Jimmy Jackson (footballer, born 1931)","20:59, 23 July 2015"
Phragmocalosphaeria,"08:37, 10 October 2017"
International Reference Ionosphere,"13:19, 30 August 2012"
Chanchanit Martorell,"16:57, 4 February 2017"
Chandel (Vidhan Sabha constituency),"22:19, 25 January 2020"
Iolaus tajoraca,"11:46, 2 October 2006"
Erioptera fuscipennis,"09:52, 13 April 2009"
Eiko Kakehata,"19:40, 12 April 2017"
Paul Simpkins,"23:38, 6 March 2008"
"Dietrich VII, Count of Cleves","17:07, 5 July 2004"
Louisa Puller,"17:18, 31 March 2007"
Ádám Szalai,"04:22, 17 February 2008"
St Mirren F.C.,"23:52, 24 July 2005"
Convención,"23:34, 4 March 2012"
International Boy Scouts of the Canal Zone,"23:53, 2 March 2018"
Alec Skempton,"06:35, 6 November 2014"
Turbonilla compsa,"06:14, 12 January 2006"
BLS Playoff MVP,"12:03, 16 July 2009"
Christelle Le Duff,"12:02, 25 June 2009"
Kazuko Hosoki,"20:21, 3 February 2015"
Craft-Bamboo Racing,"13:06, 17 May 2012"
Lightweight protocol,"12:07, 8 November 2014"
"St Clement's Church, Norwich","00:54, 21 May 2009"
Industrial licensing in India,"14:25, 29 June 2005"
Samandwala railway station,"16:03, 6 January 2018"
Banana boat (boat),"00:30, 3 April 2008"
Ivor Emmanuel,"15:13, 28 March 2010"
2017–18 Fresno State Bulldogs women's basketball team,"16:30, 7 January 2015"
Golden Speech,"16:46, 28 January 2007"
Southern Defense Command,"03:01, 26 April 2005"
Christopher S. Ahmad,"15:25, 31 March 2015"
Shidvar Island,"15:32, 24 August 2004"
Eagle Scout (Boy Scouts of the Philippines),"22:45, 6 August 2008"
Renate Aichinger,"19:26, 17 October 2013"
"Little London, Leeds","12:13, 14 August 2019"
Gao Chang,"02:33, 26 March 2019"
"Shurik, Salmas","23:00, 18 January 2019"
Christian Chevalier,"17:55, 3 April 2009"
Jason Thrasher,"09:14, 7 September 2006"
1992 McNeese State Cowboys football team,"13:17, 26 October 2010"
Wired (Hugh Cornwell album),"13:31, 11 June 2008"
Ephemeridae,"09:14, 12 March 2006"
1960–61 Football League First Division,"15:09, 9 February 2014"
"Timba, Burkina Faso","16:55, 24 July 2009"
Trisana Chandler,"00:57, 8 January 2015"
"St Peter's Church, Hayton","14:15, 1 November 2010"
John Richards (bishop of Ebbsfleet),"05:11, 9 September 2017"
The Home That 2 Built,"06:48, 10 July 2019"
Crouse Spur,"21:14, 3 July 2008"
Ren Fujimura,"22:50, 13 November 2015"
Road Transport and Highways Division,"20:53, 29 January 2009"
Martin Sherson,"05:51, 4 December 2005"
Swiss military aircraft serials,"20:40, 2 May 2009"
Prix de Lieurey,"02:45, 9 July 2016"
The Real McCoy (album),"23:53, 3 March 2012"
Coloane Alto,"22:39, 4 March 2009"
Biblioasis,"22:35, 28 June 2004"
Food marketing toward children,"20:35, 9 January 2013"
Brygidki,"09:30, 22 August 2005"
Umberto Nobile,"20:15, 1 June 2009"
Dalen Lance,"01:13, 15 August 2005"
Roman Catholic Territorial Prelature of Loreto,"01:02, 18 July 2013"
Aksel Berget Skjølsvik,"21:33, 2 January 2006"
Daniel Cosgrove,"17:57, 21 October 2004"
Taehwa Market,"21:04, 15 May 2011"
Chéserex,"02:12, 11 March 2006"
Ethiopia national football team,"11:03, 20 November 2007"
Tony François,"10:19, 16 July 2014"
Come On Get Up,"18:17, 16 January 2020"
IILM Academy of Higher Learning,"09:00, 9 February 2009"
Nymphicula cyanolitha,"06:04, 16 January 2019"
Prudencio Garcia,"03:21, 17 November 2009"
Przyczyna Górna,"12:27, 23 March 2018"
Kochnegovskaya,"17:27, 10 December 2011"
Professional Scouter (Boy Scouts of America),"23:38, 20 January 2014"
Hyperactive (Robert Palmer song),"23:28, 21 August 2008"
State Highway 62 (New Zealand),"15:56, 4 December 2007"
"Jamalabad, Sarchehan","01:30, 21 October 2008"
"Dąbrowa, Radomsko County","14:35, 2 February 2015"
Al-Arabi (magazine),"19:23, 12 July 2007"
Victor Amadeus of Anhalt-Bernburg-Schaumburg-Hoym,"05:09, 6 October 2008"
Huw Jones (rugby union),"03:58, 30 December 2005"
Glendale Galleria,"10:14, 1 February 2008"
Balmorhea (band),"23:00, 20 August 2012"
Howard Miller Clock Company,"23:19, 9 February 2010"
Cleo Maletis,"16:33, 14 August 2010"
Bruce Price Cottage,"20:14, 8 August 2015"
Sweet Hours (Dulces horas),"21:22, 6 May 2008"
"Gainesway, Lexington","02:03, 29 April 2010"
Quincy East End Historic District,"02:25, 7 December 2002"
Federal University of Uberlândia,"22:57, 3 January 2008"
Oliva australis,"16:25, 23 March 2018"
Kleene algebra,"21:32, 23 July 2017"
"Wonnie, Kentucky","15:43, 7 December 2014"
Bill Nicholson (cricketer),"05:11, 21 February 2019"
Ndola Girls Technical High School,"09:16, 7 September 2005"
Pioneers of Underwater Acoustics Medal,"09:13, 3 December 2004"
2019 Colorado Springs Switchbacks FC season,"11:48, 3 November 2007"
Paul Conneally,"03:08, 5 October 2013"
Paihia,"09:17, 17 April 2007"
Yuri Chinen,"19:35, 26 August 2018"
MasterChef Canada,"13:08, 4 November 2009"
Roxy Mitchell,"22:36, 20 October 2002"
1972 United States House of Representatives elections in Indiana,"20:31, 21 July 2006"
Michael Shepley,"15:02, 11 May 2007"
"Hardin, Kentucky","22:04, 28 April 2003"
Keri Lynn Pratt,"03:02, 30 March 2010"
Farkasgyepű,"18:26, 8 September 2012"
Australo-Melanesian,"08:08, 2 January 2018"
Propebela rufa,"15:42, 28 January 2015"
Aaron Robinson (composer),"02:17, 30 January 2018"
Mayfair Bank,"01:12, 4 September 2019"
Mevlud Meladze,"20:22, 18 December 2004"
Akletos,"13:38, 11 June 2005"
Mongolarachne chaoyangensis,"00:53, 20 June 2020"
Torpex,"21:17, 16 November 2012"
Canons Regular of the Holy Sepulchre,"10:46, 31 October 2010"
2005–06 Deportivo Toluca F.C. season,"01:36, 8 December 2013"
Enter (Cybotron album),"21:47, 10 July 2007"
Masataka Yanagida,"18:43, 7 April 2007"
Nick Szabo,"22:28, 7 December 2010"
Kostermansia,"03:42, 21 December 2009"
Forensic psychotherapy,"07:26, 16 February 2016"
Forrest Fulton,"03:01, 17 May 2012"
Concórdia do Pará,"00:47, 12 August 2015"
Chuqisa,"23:53, 22 November 2016"
Paul Lambert (Nebraska politician),"19:04, 18 May 2010"
Hayden Creek (Minnesota),"05:40, 1 August 2019"
Cannabis in Italy,"13:08, 19 May 2019"
United Nations Security Council Resolution 1194,"04:35, 6 March 2008"
Baseer Khan,"12:21, 29 June 2007"
Portugal in the Eurovision Song Contest 2020,"16:08, 16 August 2016"
13th Aero Squadron,"17:12, 24 October 2010"
Exploits Valley,"10:18, 27 October 2008"
Live at The Sahara in Las Vegas,"20:11, 12 July 2005"
Brien Rocks,"20:39, 4 March 2019"
Ferdous Ahmed,"19:06, 13 February 2007"
Artemisium,"19:33, 4 July 2011"
Friedrich Volrad Mikkelsaar,"10:41, 30 May 2006"
Crest Girls' Academy,"12:10, 18 February 2006"
Henry Favell,"19:25, 25 October 2005"
Esther Scott,"20:29, 1 June 2007"
Mobile marketing,"19:58, 17 August 2012"
1824 in the United States,"03:36, 21 July 2007"
Pele (volcano),"19:22, 20 February 2018"
Jason Cassidy,"14:29, 22 December 2007"
Paul Stevens (actor),"05:16, 19 August 2009"
Vera Zyatikova,"18:56, 5 June 2006"
Wiedemann Wysocki National Finance Council Award,"14:08, 1 December 2011"
Argus As II,"20:57, 8 December 2012"
Stab vest,"20:55, 11 December 2005"
"John Louis I, Count of Nassau-Wiesbaden-Idstein","18:25, 23 January 2009"
Giovanni Roncagli,"05:35, 28 April 2016"
WVIR-TV,"21:25, 20 February 2011"
Riga Hydroelectric Power Plant Crossing Pylon,"20:01, 9 October 2008"
XHQL-FM,"08:03, 30 December 2004"
Erminethrudis,"11:39, 1 August 2012"
Jacob Owens,"12:35, 25 January 2014"
Mihai Răzvan Ungureanu,"07:58, 11 May 2010"
Maria Chessa Lai,"14:44, 27 June 2004"
Antonello Fassari,"09:03, 15 September 2007"
Langford Hall,"14:34, 24 May 2015"
Krzekoszów,"20:46, 9 December 2005"
Thursday's Page,"21:38, 21 February 2004"
Feed Me (film),"22:00, 11 June 2012"
Mule Mountains (California),"20:11, 6 January 2009"
1785 in music,"21:42, 21 October 2006"
Charles Rampelberg,"13:25, 25 July 2007"
John G. Bergen,"18:10, 30 July 2007"
2006 deportation of Georgians from Russia,"07:33, 14 March 2009"
Brown-billed scythebill,"09:44, 13 July 2012"
1940 Coupe de France Final,"21:31, 2 March 2008"
"John Hunter House (Franklin, Tennessee)","14:14, 9 January 2005"
Aloysio Borges,"17:50, 29 December 2009"
Peter Woeste,"13:11, 23 February 2014"
Mali Federation,"16:02, 28 December 2013"
1735 in Wales,"09:58, 31 May 2004"
Perry Hannah House,"16:45, 1 March 2016"
"Bethel, Highland County, Virginia","17:22, 28 June 2013"
Louise M. Davies Symphony Hall,"11:37, 5 February 2013"
Buscando el paraíso,"04:04, 18 August 2008"
Kentucky Route 316,"15:45, 4 February 2010"
Danny Wheeler,"18:27, 23 July 2007"
Chris Knapp (baseball),"20:42, 22 April 2010"
Lake Sysmä (Ilomantsi),"22:27, 7 March 2009"
Roman Catholic Diocese of Saint-Louis du Sénégal,"02:02, 29 August 2003"
Amy Palmer,"22:52, 22 June 2005"
International Conference on Climate Change,"12:09, 29 June 2008"
Modding,"23:34, 16 April 2007"
Bender (band),"13:55, 31 January 2018"
Freedom Fighters and Rehabilitation Division,"18:43, 11 March 2014"
Breadwinner (band),"15:32, 26 September 2001"
Kurt Strebel,"20:36, 16 June 2009"
Gamma-object,"15:19, 13 November 2007"
Mooney,"23:22, 24 October 2009"
1955 Chevrolet,"20:13, 31 May 2012"
"Mąkolice, Lower Silesian Voivodeship","18:02, 1 August 2005"
La Cala de Mijas,"06:23, 7 March 2019"
Maurice Field,"07:38, 27 August 2008"
Hanley Ramírez,"14:35, 28 February 2012"
I'll Tell You What,"06:22, 15 January 2020"
Abkhazia–Russia relations,"01:52, 27 October 2007"
2012 South American U-17 Women's Championship,"06:11, 15 December 2004"
Jean Holloway,"03:13, 23 August 2004"
The Rock (The Frankie Miller Band album),"19:23, 8 June 2020"
Chris Higgins (ice hockey),"21:23, 17 December 2006"
Andrew Hoskins,"00:57, 8 April 2006"
Shuttl,"21:53, 12 May 2008"
Noel Van Raalte,"04:39, 20 December 2005"
2002 (Tha Dogg Pound album),"10:30, 4 November 2016"
Guy Burt,"14:13, 18 October 2008"
Right to Die (film),"08:52, 27 January 2009"
Schizolaena microphylla,"15:01, 14 November 2009"
Kotłowacz,"02:56, 28 September 2005"
Poland Grand Prix Gliding 2009,"15:22, 17 May 2006"
De Música Ligera,"17:03, 6 December 2004"
Puran poli,"15:10, 8 June 2012"
Calle 13 (album),"22:30, 16 March 2015"
R v Church of Scientology of Toronto,"00:39, 19 November 2015"
Player Hating: A Love Story,"09:07, 7 January 2004"
List of barbecue dishes,"17:07, 27 May 2015"
46th Division (Imperial Japanese Army),"17:35, 21 December 2006"
Ōe no Hiromoto,"15:00, 27 May 2010"
AMSL Fréjus Volleyball,"22:54, 16 January 2013"
Billy Maxted,"02:49, 7 July 2009"
Claudia Gabel,"23:53, 20 February 2010"
Utkal Prantiya Marwari Yuva Manch,"12:45, 6 June 2017"
North River (Slate River tributary),"17:37, 13 July 2017"
Thecacera pacifica,"05:11, 24 August 2008"
Veronika Moral,"20:51, 19 February 2004"
Garrett Cooper,"19:04, 28 September 2004"
"Wiktorów, Zduńska Wola County","10:46, 25 November 2012"
Seeheim-Jugenheim,"12:41, 3 August 2016"
José Sánchez del Río,"16:42, 29 February 2008"
1998 European Women's Artistic Gymnastics Championships,"19:23, 21 July 2020"
Dil Se Dil Tak,"03:59, 21 June 2017"
La Chapelle-du-Bois,"03:36, 21 November 2006"
Žvan,"22:51, 10 May 2005"
Rajasthan Pradesh Congress Committee,"08:07, 26 February 2004"
Tricholomopsis,"10:31, 18 March 2007"
Colin Salmon,"00:29, 23 February 2009"
HMS Trenchant (S91),"12:35, 8 July 2009"
Moorbank Botanic Gardens,"23:58, 7 March 2007"
Albano Cathedral,"14:32, 23 June 2007"
"Carmine Church, Carrara","05:29, 15 May 2007"
Jacksons Stores,"16:02, 25 October 2002"
Bahrenborstel,"15:44, 5 June 2004"
Last Spike (Grand Trunk Pacific Railway),"15:16, 30 October 2009"
"Troy, Vermont","08:58, 9 April 2017"
Tracey Ross,"03:48, 27 June 2006"
1955 United Kingdom heat wave,"18:41, 10 June 2013"
Ladislav Jakl,"06:01, 29 January 2005"
Dhandadihi,"11:58, 20 November 2005"
"Royal Theatre (Benton, Arkansas)","07:22, 6 October 2015"
