article_name,date_article_creation
Andy Ling,"14:00, 13 August 2016"
FC Luch Vladivostok,"18:52, 14 August 2012"
Alipura (Madhya Pradesh),"15:55, 23 August 2005"
Amagami Hime,"13:16, 6 August 2011"
K.A.P. Viswanatham Government Medical College,"17:51, 7 July 2006"
Sequence (musical form),"13:59, 10 August 2014"
Novorzhevsky District,"21:01, 13 February 2007"
Hidden Stash,"11:46, 3 September 2005"
Shelley Watts,"21:05, 2 April 2007"
Agbekoya,"16:05, 1 October 2007"
MacHale Park,"21:39, 21 May 2011"
Jacques Prou,"00:52, 12 December 2006"
Covenant of the pieces,"05:23, 9 September 2006"
City of Clinton (steam ferry),"08:58, 13 November 2012"
Bill Sherk,"21:20, 29 January 2008"
Likwidation,"22:57, 30 August 2010"
Micael Silva,"01:09, 12 September 2007"
High Sheriff of Cumbria,"09:46, 25 May 2007"
Postage stamps and postal history of the Republic of the Congo,"18:50, 10 October 2014"
Simod,"22:55, 1 August 2004"
Deng Jinghuang,"09:38, 8 June 2012"
"Queen's Building, Wolverhampton","18:42, 18 June 2012"
"Iwase, Ibaraki","11:35, 28 February 2005"
Wilmot Mansion,"23:29, 3 May 2006"
Richard Braham,"23:51, 7 January 2005"
Ynys Bery,"12:10, 11 May 2015"
Heartbreak Express,"00:57, 7 June 2020"
Lois Weisberg,"06:31, 9 March 2014"
Lloyd French (footballer),"02:06, 7 July 2013"
Drayton Valley (provincial electoral district),"22:35, 19 August 2013"
Competing endogenous RNA (ceRNA) databases and resources,"11:14, 13 June 2008"
Cedar Breaks Archeological District,"17:54, 10 June 2010"
Dalton Kellett,"07:56, 25 October 2008"
James Brooks (Texas Ranger),"23:23, 15 December 2009"
Wang Tiwu,"08:24, 8 December 2019"
Nicasio Silverio,"09:15, 20 June 2006"
Atefeh Nabavi,"14:37, 6 November 2016"
Slovakia men's national under-18 basketball team,"11:20, 19 August 2015"
Tom Egeland,"06:33, 12 December 2006"
Island of Love (1929 film),"12:24, 31 August 2008"
Filatima frugalis,"17:54, 16 July 2003"
Flag of the Federated Malay States,"14:51, 7 January 2006"
TOX2,"15:12, 20 July 2005"
Boz Burrell,"00:36, 22 August 2020"
Lidia Șimon,"02:34, 28 June 2004"
Matt Birk,"10:47, 2 December 2011"
John Gibbons (pitcher),"03:13, 17 August 2008"
Darrell Armstrong,"21:51, 31 December 2008"
Stretched grid method,"15:09, 28 July 2015"
"Murphys Creek, Queensland","18:02, 1 February 2006"
Dove Lake (Tasmania),"08:55, 12 December 2003"
Réhahn,"17:49, 1 December 2007"
Adio people,"03:49, 7 November 2015"
List of British Columbia general elections,"13:07, 9 July 2008"
Zoran Rajović,"17:59, 18 November 2013"
Gomti Chakra,"00:03, 2 June 2014"
Hurtado de Mendoza,"18:24, 4 July 2017"
Polyfyto,"05:02, 10 July 2009"
2014 Mississippi Valley State Delta Devils football team,"08:17, 27 November 2013"
1892 Syracuse Orangemen football team,"14:19, 26 November 2016"
Hapuawai River,"15:28, 22 August 2009"
SYBR Safe,"07:31, 15 February 2006"
Wilbur T. and Rhoda Stephens Johnson House,"22:27, 3 October 2009"
Ústrašice,"08:04, 2 October 2019"
Hayao Miyazaki's Daydream Data Notes,"01:01, 2 December 2007"
Lockwood Drifter,"17:27, 24 October 2011"
Barun-Khasurta,"00:17, 28 June 2007"
Dejan Pešić,"06:22, 18 October 2005"
812 Naval Air Squadron,"04:39, 28 November 2006"
Iason Athanasiadis,"21:19, 4 September 2007"
USS Trippe (DD-403),"01:22, 17 March 2008"
Teacups,"03:39, 20 August 2020"
Aphanochaetaceae,"03:31, 22 August 2007"
List of vehicle speed records,"22:49, 19 January 2015"
41st Academy of Country Music Awards,"20:05, 7 January 2014"
Ukhozi FM,"15:59, 24 March 2008"
Doliops anichtchenkoi,"22:19, 24 July 2007"
Abdur Rahim Mikrani,"06:37, 20 October 2014"
Kristen J. Amundson,"23:18, 28 November 2017"
1998 Cincinnati Reds season,"10:00, 23 January 2015"
Michael Jones (actor),"17:18, 22 November 2006"
The Dreamer Is the Dream,"10:27, 6 December 2005"
Branivoje Jovanović,"05:51, 17 July 2004"
Garry Judd,"01:36, 6 April 2019"
Kufra,"00:55, 8 August 2006"
Eric W. Weisstein,"17:03, 21 August 2016"
Norwegian Basketball Association,"01:45, 21 April 2009"
Akiva Librecht,"08:06, 18 April 2011"
Furniture Building,"03:15, 16 July 2014"
McGhee Tyson Air National Guard Base,"13:39, 4 October 2015"
Jorge Sebastián Núñez,"17:46, 29 July 2017"
Hector and the Search for Happiness,"00:24, 13 May 2015"
The Sixties (miniseries),"01:58, 4 January 2006"
Shussei Heishi o Okuru Uta,"10:37, 30 April 2018"
Henry Judd Baker,"02:15, 17 March 2004"
Formula composition,"13:57, 4 June 2008"
Neoporus dimidiatus,"17:23, 4 February 2016"
List of Arabian Houses,"02:11, 23 January 2010"
Chanchara,"13:06, 30 October 2015"
John F. Douthitt,"12:22, 2 April 2011"
Electoral results for the Division of Dickson,"21:26, 19 December 2012"
Pierre-Etienne Moitte,"20:29, 6 October 2004"
Toxophilus,"18:52, 1 May 2009"
Chris van Uffelen,"12:56, 2 February 2010"
Harry Wu,"20:33, 31 May 2008"
Victoria Rifles of Canada,"13:41, 19 August 2007"
Pycnocornuta,"22:25, 29 June 2010"
Cleveland Barrens Natural Area Preserve,"20:16, 8 August 2012"
Elwood Union Free School District,"13:47, 4 January 2008"
Nik Rabinowitz,"17:17, 9 September 2018"
Asahi Production,"13:19, 21 March 2008"
Grain Crossing Halt railway station,"18:01, 20 October 2014"
Qi Ying (sport shooter),"21:09, 4 October 2017"
List of fictional presidents of the United States (E–F),"22:51, 3 February 2006"
Hypodiscus,"21:58, 4 July 2018"
Gaius Calpurnius Flaccus,"19:55, 4 July 2004"
Nuclear Command Authority (India),"08:49, 15 June 2009"
"Su, Catalonia","02:34, 5 August 2010"
Harlan Coben,"07:12, 23 February 2009"
Ephraim Curzon,"23:12, 17 February 2015"
Alexander Vladimirovich Varlamov,"04:19, 23 August 2005"
"Kamela, Poland","05:20, 31 October 2014"
Eric Miller Animation Studios,"10:30, 14 November 2015"
Miami Hurricanes football,"15:45, 22 March 2016"
Stepan Veranian,"04:57, 13 February 2007"
Streptomyces baliensis,"10:24, 7 April 2006"
David Burris,"06:28, 25 November 2005"
Dioscorea mexicana,"18:02, 5 August 2017"
Campa Cola,"05:57, 19 April 2019"
Gavilan SC,"05:34, 1 June 2012"
TAZ 83,"16:33, 2 November 2011"
Qiufu Youdi,"02:27, 29 September 2014"
Rumor spread in social network,"13:30, 3 April 2007"
Athletics at the 2011 All-Africa Games – Women's 1500 metres,"03:15, 31 July 2015"
Ralph and Nell's Ramble to Oxford,"10:30, 9 February 2009"
"Sandviken, Blekinge","23:18, 15 March 2017"
Stephen Dark,"02:31, 23 May 2017"
"Zagóra, Lubusz Voivodeship","10:55, 4 April 2018"
Linda assamensis,"10:30, 14 May 2003"
A.W. Pratt House,"11:55, 21 May 2011"
2018 Moscow Oblast gubernatorial election,"21:43, 14 March 2005"
Gulbene District,"09:46, 11 May 2018"
Lithotrite,"22:07, 7 August 2013"
Carthage the Elder,"12:58, 31 March 2007"
Fridericia (animal),"18:36, 26 May 2014"
Edmund Weaver (astronomer),"18:30, 28 January 2010"
Braddon Green,"04:45, 1 December 2015"
William Leist Readwin Cates,"17:27, 24 September 2006"
Realm of Kings,"19:43, 11 April 2012"
"Seven Pines, Alabama","09:39, 25 February 2006"
"Archibald Acheson, 5th Earl of Gosford","09:42, 24 June 2006"
Precious Knowledge,"17:50, 11 July 2020"
Gaspare Pisciotta,"21:09, 6 January 2007"
Wilhelm Hahnemann,"00:56, 9 December 2005"
Sara Warburg,"05:41, 22 May 2016"
Canindé de São Francisco,"01:00, 3 November 2006"
John A. Osborne Airport,"04:27, 26 June 2013"
Pranlal Kharsani,"11:12, 10 April 2017"
Anna Del Amico,"19:45, 3 July 2006"
The Port Macquarie News and Hastings River Advocate,"07:02, 13 January 2017"
Clathrochitina,"15:11, 7 May 2014"
"Ancient House, Ipswich","02:18, 21 February 2020"
Reach Out for the One Who Loves You,"01:07, 12 April 2007"
Robert Cruttenden,"04:26, 27 September 2003"
Tyrell Terry,"07:08, 25 July 2006"
St Bonaventure's High School,"02:55, 24 June 2019"
Anastomosis,"07:04, 4 December 2008"
UFC 15,"12:07, 16 March 2007"
Boniface Kongin,"09:21, 28 December 2010"
Electoral district of Deloraine,"22:08, 12 July 2010"
List of Ipswich Town F.C. records and statistics,"02:28, 31 December 2004"
Mario Domm,"21:54, 18 April 2007"
Qoornoq,"19:31, 18 November 2011"
Trần Văn Chương,"20:30, 5 March 2009"
Formula C (SCCA),"21:17, 10 February 2004"
"Çılkıdır, Taşova","20:54, 21 August 2005"
Cathy Seibel,"03:24, 23 December 2017"
Earl of Mexborough,"15:59, 26 August 2007"
Aposematism,"19:20, 18 June 2008"
Waconichi River,"20:53, 24 July 2008"
List of Swedish armoured regiments,"13:33, 26 May 2019"
Mike Rebhan,"19:58, 11 May 2013"
Japan National Route 473,"06:48, 4 July 2006"
Anouchka,"00:48, 21 December 2003"
Indian Orthopaedic Association,"02:29, 24 February 2017"
Mark Orchard (cricketer),"22:32, 14 February 2007"
Persistent genital arousal disorder,"21:42, 12 April 2008"
"Embassy of Burundi in Washington, D.C.","01:20, 7 October 2006"
Sonargaon Upazila,"21:36, 21 November 2014"
Bremridge Wood,"06:38, 21 April 2007"
Let's Get Rocked,"01:47, 13 August 2006"
Petticoat Fever,"05:37, 11 February 2010"
Keisei Ueno Station,"19:53, 29 April 2006"
Stillwater Lake (Pennsylvania),"02:12, 30 March 2005"
Cyril Clowes,"06:07, 23 April 2013"
Solomon's Stone,"19:51, 9 May 2008"
Dongjin Bridge,"17:07, 19 July 2015"
A. M. B.Ed. College,"15:17, 17 October 2010"
1990–91 Boston Celtics season,"23:03, 27 October 2005"
1927 Michigan State Spartans football team,"02:26, 5 March 2008"
Tommy Gibb,"09:30, 3 September 2012"
Best Boy (film),"11:18, 22 July 2020"
Fish Church,"11:59, 2 July 2019"
Akito Tachibana,"07:37, 14 August 2016"
Sundini,"15:00, 22 July 2009"
England at the FIFA Women's World Cup,"00:50, 8 January 2016"
Stefaniya Elfutina,"02:56, 30 January 2006"
St. Anne's Society,"00:08, 5 May 2006"
Robert Silverberg bibliography,"10:00, 18 July 2007"
Leduc (provincial electoral district),"02:17, 17 February 2012"
The First Days of Spring,"03:16, 9 January 2006"
1994 European Parliament election in Belgium,"02:08, 26 August 2006"
Frank Schwable,"06:06, 17 September 2019"
Gamera vs. Zigra,"11:48, 4 February 2015"
Frank Leonard Brooks,"16:42, 27 June 2013"
Zayachye,"14:16, 6 January 2009"
Chorachiwadi,"07:22, 9 December 2008"
Valeryan Khuroshvili,"08:11, 26 October 2009"
Babkowice,"12:53, 19 September 2015"
Khaled bin Talal bin Abdulaziz Al Saud,"06:57, 14 March 2008"
Artistic gymnastics at the 2009 Mediterranean Games,"02:08, 14 December 2014"
Vestas 11th Hour Racing,"00:51, 1 September 2016"
Outline of Serbia,"09:27, 12 September 2020"
Gibson Lake (Sudbury District),"22:13, 24 October 2008"
OH Ranch,"05:21, 31 January 2008"
Caelia (play),"22:36, 9 April 2009"
Geraldine Lucas Homestead–Fabian Place Historic District,"06:05, 6 July 2007"
Anne-Marie Cadieux,"16:31, 19 April 2010"
"Hume, Fresno County, California","14:05, 12 June 2007"
Richard Muther (industrial engineer),"23:23, 26 November 2018"
2009–10 Eredivisie (ice hockey) season,"16:36, 7 October 2018"
Mongolian Ping Pong,"21:12, 22 September 2006"
Madonna and Child with Saint Roch and Saint Sebastian (Lotto),"13:19, 18 June 2009"
"Shia, Ghana","09:58, 7 March 2005"
Exile and the Kingdom (album),"23:17, 7 February 2013"
"Meelon, Western Australia","21:14, 3 March 2017"
Holtkamp Organ Company,"21:36, 20 January 2014"
"Sirab, Hamadan","23:54, 24 March 2009"
Aslan Khan Daghestani,"01:46, 12 May 2012"
"Harrison School (Roanoke, Virginia)","16:38, 2 December 2004"
The Showgirl Must Go On,"00:29, 7 February 2011"
The Carthage Press,"07:25, 20 March 2019"
Cray T3D,"12:38, 14 March 2019"
Helenton Loch,"01:48, 9 January 2011"
Partindo,"22:36, 28 March 2010"
Glocom (defence company),"22:57, 25 August 2008"
Kara Ben Nemsi Effendi,"12:37, 15 February 2009"
United Nations Security Council Resolution 943,"19:38, 11 September 2013"
Chycza-Brzóstki,"09:19, 7 November 2019"
Giacinto De Cassan,"09:55, 13 March 2019"
New York City Council LGBT Caucus,"22:23, 10 November 2006"
Basudev,"21:34, 28 December 2010"
Tyler Harper,"18:00, 11 September 2013"
Šaštín-Stráže,"02:25, 18 October 2009"
Futsal at the 2011 Southeast Asian Games,"05:28, 16 August 2009"
Naqduz,"03:46, 16 January 2015"
Getinghonung,"01:44, 10 September 2012"
Iapetus Suture,"03:56, 2 August 2006"
List of number-one hits of 2015 (Italy),"12:56, 5 February 2009"
Oswald J. Nitschke House,"04:24, 2 December 2019"
Coke Escovedo,"15:03, 22 August 2009"
"Shake, Zimbabwe","16:14, 16 May 2020"
Cypress Creek Middle High School,"20:20, 29 January 2016"
Řepice,"04:10, 17 February 2012"
Tezaur folcloric,"21:42, 19 September 2016"
42 Lomasney Way,"19:17, 1 December 2009"
Lamida,"16:41, 28 September 2016"
David Rubin (author),"23:36, 11 September 2009"
Damianos Kyriazis,"21:43, 31 January 2020"
List of AAU men's basketball champions,"18:32, 1 August 2011"
WELX,"05:54, 6 November 2012"
Dagmar Schmidt,"05:20, 13 March 2007"
Lucas Santtana,"07:08, 15 April 2019"
James Fraser-Mackenzie,"19:21, 6 December 2007"
Krentjebrij,"14:10, 31 May 2012"
Eugène Léon Vivier,"19:13, 10 July 2014"
Andreas Schelfhout,"17:37, 23 July 2007"
Morten Kjærum,"01:40, 8 August 2008"
Tyonek Formation,"11:17, 15 March 2015"
Debbie Russ,"12:29, 30 March 2003"
Coastland Center,"19:54, 18 April 2008"
The Bing Crosby – Chesterfield Show,"13:54, 3 September 2016"
List of prime ministers of Luxembourg,"21:54, 6 November 2012"
Taking Back the Night Life,"17:21, 28 August 2019"
"St. John the Baptist Cathedral, Santorini","14:15, 6 June 2010"
2012–13 Grambling State Tigers men's basketball team,"23:44, 18 December 2015"
Flying Over Sunset,"11:00, 24 April 2019"
Jack Mitchell (jockey),"20:13, 5 June 2014"
James Kittson,"22:17, 25 August 2008"
Albumin transport function analysis by EPR spectroscopy,"09:36, 20 September 2013"
Mortimer His Fall,"22:57, 26 August 2006"
Solec-Zdrój,"13:33, 16 November 2007"
New Luika Gold Mine,"07:20, 26 June 2010"
My Republic,"16:18, 18 December 2007"
1979 Georgia Bulldogs football team,"09:59, 28 November 2006"
Hua Sanchuan,"15:53, 24 March 2007"
HSPB2,"19:42, 30 April 2016"
Enzo Pérez,"17:12, 24 August 2006"
Air Force of Serbia and Montenegro,"08:20, 4 October 2009"
"Toshiko Akiyoshi Trio, 1980 In Rikuzentakata","10:46, 31 December 2014"
Zduńska Wola County,"16:30, 23 March 2018"
Bártová,"08:46, 31 July 2017"
Marek Obrtel,"01:43, 16 January 2006"
Umunumo,"12:13, 28 September 2006"
Jeremías Stokes,"13:44, 3 January 2015"
Oscar Anderson House Museum,"21:15, 14 May 2004"
Promegakaryocyte,"08:24, 30 August 2017"
Davis Family House,"18:00, 13 April 2018"
Conwy,"22:31, 15 November 2008"
Paavo Kaarlehto,"09:35, 27 July 2018"
Jonah Rockoff,"20:38, 22 August 2013"
Miss Puerto Rico Universe 2004,"12:57, 31 May 2012"
Leucospermum rodolentum,"09:17, 30 January 2010"
Jarl Lindfors,"17:11, 9 August 2014"
"Bias, West Virginia","13:04, 17 December 2010"
"Juan Hurtado de Mendoza, 3rd Lord of Cañete","17:19, 15 February 2004"
Emerson Hyndman,"03:24, 9 September 2007"
1977 Oman cyclone,"06:29, 23 June 2004"
Flag of North Dakota,"20:23, 27 April 2012"
1975–76 Divizia A,"21:42, 22 April 2013"
Tales of the City,"15:44, 27 April 2016"
María Pilar Izquierdo Albero,"19:30, 16 October 2008"
Tolombeh-ye Salehi Deh Khan,"14:17, 16 October 2011"
Maigret's Dead Man,"16:00, 21 October 2002"
Controversy surrounding Resistance: Fall of Man,"03:11, 25 April 2008"
Robert Weingard,"23:18, 9 February 2007"
"Morrice, Michigan","02:31, 22 June 2020"
The Creator (novelette),"14:55, 20 September 2008"
WJCT-FM,"22:05, 23 July 2007"
Siller,"18:41, 13 June 2005"
Roopnagar,"16:17, 2 November 2007"
Ptychadena newtoni,"18:04, 28 September 2015"
Parents' Day,"14:02, 8 September 2006"
KDDD-FM,"04:59, 6 April 2005"
Vijay Television Awards for Entertainer of The Channel,"10:03, 3 June 2013"
Funny Farm (film),"16:56, 6 November 2011"
Duplex (film),"02:00, 16 July 2007"
Lawless (surname),"06:48, 16 December 2012"
Fargoa gibbosa,"00:04, 30 November 2009"
Creanga Mare,"04:02, 21 June 2006"
Zaven I Der Yeghiayan of Constantinople,"15:00, 24 September 2015"
Narathu of Pinya,"11:56, 28 February 2007"
Lou Benfatti,"17:48, 7 December 2017"
List of recipients of the Creus de Sant Jordi,"15:02, 25 September 2017"
Anglesboro,"19:08, 29 February 2004"
Brendan Berne,"09:05, 3 April 2016"
Juan María de la Cruz,"23:29, 4 January 2011"
Alexander Brome,"19:44, 9 June 2007"
Pichaqani (Vinto),"10:41, 29 May 2012"
Just Call Me Nobody,"21:41, 19 March 2014"
Paul of Dune,"20:14, 24 July 2012"
Goldwell,"23:02, 30 December 2012"
Daniele Silvestri,"17:59, 21 January 2011"
iMeet,"17:24, 16 November 2014"
"Shawo Township, Hubei","11:03, 28 February 2011"
Furzehill,"19:33, 2 June 2019"
WJZZ (FM),"06:59, 3 January 2007"
Web audience measurement,"19:49, 9 May 2015"
Celestino Midali,"05:04, 24 July 2011"
18th Strategic Aerospace Division,"16:05, 4 March 2014"
2015 Grand Prix of Indianapolis,"12:18, 1 December 2004"
Amanda McDonald Crowley,"20:51, 24 January 2015"
Three foot six inch gauge railways in the United Kingdom,"07:53, 6 March 2009"
Port of Hong Kong,"21:48, 22 May 2006"
Qatar National Unity Front,"01:06, 13 June 2011"
"Orzechowo, Gmina Olsztynek","16:25, 12 August 2008"
Aaron of York,"22:29, 6 January 2009"
No. 7 Squadron (Pakistan Air Force),"19:04, 6 January 2011"
Alessio di Savino,"23:05, 22 May 2007"
Győri Audi ETO KC,"12:12, 8 October 2007"
Windautal,"21:01, 22 December 2010"
Julie Olson Williams,"17:21, 11 February 2010"
Mircea Cantor,"14:57, 28 June 2016"
Feschaeria,"18:49, 28 November 2005"
Herochroma baibarana,"23:59, 13 March 2004"
"Héctor Núñez (footballer, born 1992)","11:26, 12 September 2007"
Francis J. Haverfield,"17:58, 30 August 2013"
Broken Arrow (1996 film),"01:16, 30 March 2011"
Bochner identity,"13:56, 30 October 2006"
"Parsabad, Kowsar","20:09, 24 November 2014"
Showery Tor,"14:44, 16 September 2007"
Wolverhampton West (UK Parliament constituency),"11:10, 2 August 2014"
Dangerous Number,"14:59, 26 September 2013"
Flaux,"10:33, 13 July 2012"
Richard N. Berry,"21:36, 29 October 2014"
"Senboku, Akita (town)","14:52, 12 April 2015"
"Beden, Gündoğmuş","14:44, 11 May 2020"
Jiang Kelü,"15:42, 24 September 2013"
Expelled (film),"16:38, 13 December 2016"
A Lesson from Aloes,"18:12, 8 November 2005"
Le Château des Carpathes (opera),"21:19, 12 December 2011"
Xiaomi Mi Note 2,"08:21, 24 January 2008"
Branch mint,"14:03, 14 December 2010"
Barry Mason (sculptor),"23:52, 25 March 2010"
Wheel (detergent),"20:03, 26 April 2015"
Sabatinca,"14:16, 2 March 2007"
Ngawang Drakpa Gyaltsen,"11:56, 5 October 2009"
Wasif al-Turki,"13:01, 6 October 2008"
California Energy Commission,"09:41, 22 December 2014"
"Sir George Tyler, 1st Baronet","11:10, 16 September 2018"
MIM-46 Mauler,"00:27, 5 November 2003‎"
Armaguedon,"20:54, 15 December 2005‎"
Kyle McDuffie,"14:54, 8 April 2019"
